Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,PlayerID
1,Jaquan Brisker,26,DB,2,2,0,10,5,50.0,57,11.4,5.7,0,67.5,13.0,37,20,7,0,0,0,1.0,1,23,1,4.2,,BrisJa01
2,Tremaine Edmunds,27,LB,2,2,0,7,6,85.7,59,9.8,8.4,1,141.4,8.6,39,20,11,0,0,0,0.0,0,13,0,0.0,,EdmuTr01
3,Kyler Gordon,26,DB,2,0,0,13,5,38.5,84,16.8,6.5,1,86.7,11.4,40,44,8,1,0,0,1.0,2,10,0,0.0,,GordKy00
4,D'Marco Jackson,27,LB,2,1,0,9,6,66.7,47,7.8,5.2,0,79.4,2.3,9,38,10,0,0,0,0.0,0,12,3,20.0,,JackDM00
5,Kevin Byard,32,DB,2,2,0,4,3,75.0,47,15.7,11.8,0,113.5,10.5,20,27,0,0,0,0,0.0,0,10,2,16.7,,ByarKe01
6,C.J. Gardner-Johnson,28,S,1,1,0,8,3,37.5,47,15.7,5.9,0,57.8,14.4,27,20,6,0,0,0,0.0,0,4,0,0.0,,GardCh00
7,Austin Booker,23,DL,2,2,0,0,0,,,,,,,,,,4,0,1,0,1.0,2,9,1,10.0,,BookAu00
8,Gervon Dexter,24,DL,2,2,0,0,0,,,,,,,,,,0,3,1,0,0.0,4,4,0,0.0,,DextGe00
9,Jaylon Johnson,26,DB,2,2,0,8,5,62.5,115,23.0,14.4,0,106.2,12.5,56,59,3,0,0,0,0.0,0,6,3,33.3,,JohnJa13
10,Tyrique Stevenson,25,DB,2,0,0,8,4,50.0,46,11.5,5.8,0,67.7,13.3,27,19,0,0,0,0,0.0,0,5,1,16.7,,StevTy01
11,Jalen Reeves-Maybin,30,LB,1,0,0,0,0,,,,,,,,,,2,0,1,0,0.0,1,2,0,0.0,,ReevJa00
12,Dominique Robinson,27,DL,1,0,0,0,0,,,,,,,,,,0,0,0,0,1.0,1,2,0,0.0,,RobiDo00
13,Montez Sweat,29,DL,2,2,0,0,0,,,,,,,,,,0,1,4,0,1.0,6,5,0,0.0,,SweaMo00
14,Nahshon Wright,27,CB,2,2,0,10,6,60.0,72,12.0,7.2,1,115.4,8.7,29,43,2,0,0,0,0.0,0,6,0,0.0,,WrigNa00
15,Grady Jarrett,32,DL,2,0,0,0,0,,,,,,,,,,0,0,1,1,0.0,1,6,1,14.3,,JarrGr00
16,Amen Ogbongbemiga,27,LB,1,0,0,0,0,,,,,,,,,,1,0,0,0,0.0,0,1,0,0.0,,OgboAm00
17,Andrew Billings,30,DL,1,1,0,0,0,,,,,,,,,,0,0,0,0,0.0,0,0,2,100.0,,BillAn00
18,T.J. Edwards,29,LB,1,1,0,0,0,,,,,,,,,,2,0,0,0,0.0,0,0,0,,,EdwaTJ02
19,Nick McCloud,27,CB,1,1,0,1,1,100.0,7,7.0,7.0,1,135.4,2.0,2,5,1,0,0,0,0.0,0,0,0,,,McClNi00
,Team Totals,,,2,2,0,42,20,56.4,581,13.2,7.4,0,67.4,10.4,286,295,57,5,8,1,5.0,18,118,14,10.6,,-9999
