Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,PlayerID
1,Colston Loveland,21,TE,16,11,82,58,713,36,463,8.0,250,4.3,9.0,4,14.5,1,1.2,0,121.6,,LoveCo00
2,D.J. Moore,28,WR,17,17,85,50,682,32,460,9.2,222,4.4,11.5,4,12.5,3,3.5,1,103.2,,MoorD.00
3,Luther Burden,22,WR,15,5,60,47,652,27,318,6.8,334,7.1,7.7,1,47.0,4,6.7,0,123.1,,BurdLu00
4,Rome Odunze,23,WR,12,12,90,44,661,37,447,10.2,214,4.9,13.9,1,44.0,2,2.2,3,81.8,,OdunRo00
5,Olamide Zaccheaus,28,WR,16,5,65,39,313,15,175,4.5,138,3.5,6.7,1,39.0,5,7.7,1,76.0,,ZaccOl01
6,D'Andre Swift,26,RB,16,16,48,34,299,11,-58,-1.7,357,10.5,-0.6,1,34.0,4,8.3,0,94.0,,SwifDA00
7,Cole Kmet,26,TE,16,15,48,30,347,17,198,6.6,149,5.0,8.8,2,15.0,2,4.2,1,89.5,,KmetCo00
8,Kyle Monangai,23,RB,17,1,30,18,164,7,2,0.1,162,9.0,-0.3,3,6.0,6,20.0,1,61.0,,MonaKy00
9,Jahdae Walker,23,WR,9,1,10,6,87,4,79,13.2,8,1.3,13.0,0,,1,10.0,0,127.9,,WalkJa03
10,Durham Smythe,30,TE,17,2,6,4,25,1,10,2.5,15,3.8,4.0,0,,1,16.7,0,75.0,,SmytDu00
11,Devin Duvernay,28,WR,17,0,5,2,26,1,26,13.0,0,0.0,14.2,0,,0,0.0,0,57.1,,DuveDe00
12,Caleb Williams,24,QB,17,17,2,2,22,2,-3,-1.5,25,12.5,-1.5,0,,0,0.0,0,152.1,,WillCa03
13,Brittain Brown,28,RB,3,0,1,0,0,0,0,,0,,4.0,0,,0,0.0,0,39.6,,BrowBr06
,Team Totals,,,17,17,532,334,3991,190,2117,6.3,1874,5.6,8.4,17,19.6,29,5.5,7,97.7,,-9999
